SYMBOL	Domino	NCBI
ABRACL	0.13436125	NCBIGene:58527
ABRAXAS1	0.2291688	NCBIGene:84142
ABRAXAS2	0.12617104	NCBIGene:23172
ABT1	0.09583002	NCBIGene:29777
ABTB1	0.06984679	NCBIGene:80325
ABTB2	0.16751982	NCBIGene:25841
ACAA1	0.08022974	NCBIGene:30
ACAA2	0.07846798	NCBIGene:10449
ACACA	0.9999819	NCBIGene:31
ACACB	0.59937022	NCBIGene:32
ACAD10	0.11038543	NCBIGene:80724
ACAD11	0.05103787	NCBIGene:84129
ACAD8	0.06063785	NCBIGene:27034
ACAD9	0.05729644	NCBIGene:28976
ACADL	0.10689699	NCBIGene:33
ACADM	0.07681678	NCBIGene:34
ACADS	0.05218091	NCBIGene:35
ACADSB	0.06647366	NCBIGene:36
ACADVL	0.06270185	NCBIGene:37
ACAN	0.9958176	NCBIGene:176
ACAP1	0.16582054	NCBIGene:9744
ACAP2	0.52675848	NCBIGene:23527
ACAP3	0.08849464	NCBIGene:116983
ACAT1	0.05207773	NCBIGene:6646
ACAT2	0.1396606	NCBIGene:8435
ACBD3	0.94813291	NCBIGene:64746
ACBD4	0.09329657	NCBIGene:79777
ACBD5	0.10312503	NCBIGene:91452
ACBD6	0.10567761	NCBIGene:84320
ACBD7	0.06126516	NCBIGene:414149
ACCS	0.06332615	NCBIGene:84680
ACCSL	0.08814351	NCBIGene:390110
ACD	0.22371289	NCBIGene:65057
ACE	0.33000762	NCBIGene:1636
ACER1	0.09322878	NCBIGene:125981
ACER2	0.08357776	NCBIGene:340485
ACER3	0.22477186	NCBIGene:55331
ACHE	0.92691474	NCBIGene:43
ACIN1	0.94192204	NCBIGene:22985
ACKR1	0.13464422	NCBIGene:2532
ACKR2	0.12817182	NCBIGene:1238
ACKR3	0.13886245	NCBIGene:57007
ACKR4	0.14081579	NCBIGene:51554
ACLY	0.98861773	NCBIGene:47
ACMSD	0.1475844	NCBIGene:130013
ACO1	0.07107383	NCBIGene:48
ACO2	0.21092963	NCBIGene:50
ACOD1	0.11899256	NCBIGene:730249
ACOT1	0.15066035	NCBIGene:641371
ACOT11	0.1151568	NCBIGene:26027
ACOT12	0.10997955	NCBIGene:134526
ACOT13	0.19978734	NCBIGene:55856
ACOT2	0.08465231	NCBIGene:10965
ACOT4	0.14055211	NCBIGene:122970
ACOT6	0.18548184	NCBIGene:641372
ACOT7	0.10089136	NCBIGene:11332
ACOT8	0.15508431	NCBIGene:10005
ACOX1	0.09171241	NCBIGene:51
ACOX2	0.08483849	NCBIGene:8309
ACOX3	0.07743312	NCBIGene:8310
ACOXL	0.06705031	NCBIGene:55289
ACP1	0.2232024	NCBIGene:52
ACP2	0.11896038	NCBIGene:53
ACP4	0.08446712	NCBIGene:93650
ACP5	0.1181349	NCBIGene:54
ACP6	0.07170426	NCBIGene:51205
ACP7	0.0902634	NCBIGene:390928
ACPP	0.07900819	NCBIGene:55
ACR	0.15746166	NCBIGene:49
ACRBP	0.06455477	NCBIGene:84519
ACRV1	0.07369504	NCBIGene:56
ACSBG1	0.0832393	NCBIGene:23205
ACSBG2	0.06534342	NCBIGene:81616
ACSF2	0.10147064	NCBIGene:80221
ACSF3	0.13433627	NCBIGene:197322
ACSL1	0.2695163	NCBIGene:2180
ACSL3	0.22571408	NCBIGene:2181
ACSL5	0.08343119	NCBIGene:51703
ACSL6	0.16229477	NCBIGene:23305
ACSM1	0.05423862	NCBIGene:116285
ACSM2A	0.06550194	NCBIGene:123876
ACSM2B	0.07350609	NCBIGene:348158
ACSM3	0.10252574	NCBIGene:6296
ACSM4	0.16259133	NCBIGene:341392
ACSM5	0.06217771	NCBIGene:54988
ACSM6	0.06251547	NCBIGene:142827
ACSS1	0.07157136	NCBIGene:84532
ACSS2	0.06014851	NCBIGene:55902
ACSS3	0.0773664	NCBIGene:79611
ACTA1	0.98258504	NCBIGene:58
ACTA2	0.99847101	NCBIGene:59
ACTB	0.99993014	NCBIGene:60
ACTBL2	0.9550028	NCBIGene:345651
ACTC1	0.99753881	NCBIGene:70
ACTG1	0.95895022	NCBIGene:71
ACTG2	0.98474187	NCBIGene:72
ACTL10	0.84114692	NCBIGene:170487
ACTL6A	0.99944551	NCBIGene:86
ACTL6B	0.99927818	NCBIGene:51412
ACTL7A	0.79932058	NCBIGene:10881
ACTL7B	0.68375068	NCBIGene:10880
ACTL8	0.53550697	NCBIGene:81569
ACTL9	0.57400095	NCBIGene:284382
ACTN1	0.99937029	NCBIGene:87
ACTN2	0.9994469	NCBIGene:88
ACTN3	0.78073889	NCBIGene:89
ACTN4	0.99988083	NCBIGene:81
ACTR10	0.2830847	NCBIGene:55860
ACTR1A	0.98827221	NCBIGene:10121
ACTR1B	0.41513753	NCBIGene:10120
ACTR2	0.96444457	NCBIGene:10097
ACTR3	0.99143526	NCBIGene:10096
ACTR3B	0.99014405	NCBIGene:57180
ACTR3C	0.12823337	NCBIGene:653857
ACTR5	0.50923715	NCBIGene:79913
ACTR6	0.45033954	NCBIGene:64431
ACTR8	0.24615401	NCBIGene:93973
ACTRT2	0.42554596	NCBIGene:140625
ACTRT3	0.69664719	NCBIGene:84517
ACVR1	0.9999373	NCBIGene:90
ACVR1B	0.99995546	NCBIGene:91
ACVR1C	0.78355166	NCBIGene:130399
ACVR2A	0.99990667	NCBIGene:92
ACVR2B	0.99936793	NCBIGene:93
ACVRL1	0.79683288	NCBIGene:94
ACY1	0.04984945	NCBIGene:95
ACY3	0.1251022	NCBIGene:91703
ACYP1	0.12421345	NCBIGene:97
ACYP2	0.07326193	NCBIGene:98
ADA	0.05626174	NCBIGene:100
ADA2	0.06957599	NCBIGene:51816
ADAD1	0.6266417	NCBIGene:132612
ADAD2	0.05486449	NCBIGene:161931
ADAL	0.13257617	NCBIGene:161823
ADAM10	0.99998211	NCBIGene:102
ADAM11	0.10758435	NCBIGene:4185
ADAM12	0.28585467	NCBIGene:8038
ADAM15	0.10719135	NCBIGene:8751
ADAM17	0.99228442	NCBIGene:6868
ADAM18	0.06980887	NCBIGene:6868
ADAM19	0.1128396	NCBIGene:8728
ADAM2	0.12668047	NCBIGene:2515
ADAM20	0.14365873	NCBIGene:8748
ADAM21	0.06423932	NCBIGene:8747
ADAM22	0.6135741	NCBIGene:53616
ADAM23	0.65277833	NCBIGene:8745
ADAM28	0.16760816	NCBIGene:10863
ADAM29	0.09957159	NCBIGene:11086
ADAM30	0.07178397	NCBIGene:11085
ADAM32	0.04891533	NCBIGene:203102
ADAM33	0.1397342	NCBIGene:80332
ADAM7	0.06432101	NCBIGene:8756
ADAM8	0.06309781	NCBIGene:101
ADAM9	0.58364011	NCBIGene:8754
ADAMDEC1	0.08213933	NCBIGene:27299
ADAMTS1	0.7895237	NCBIGene:9510
ADAMTS10	0.33152922	NCBIGene:81794
ADAMTS12	0.29955859	NCBIGene:81792
ADAMTS13	0.18958297	NCBIGene:11093
ADAMTS14	0.08637733	NCBIGene:140766
ADAMTS15	0.37909923	NCBIGene:170689
ADAMTS16	0.06648548	NCBIGene:170690
ADAMTS17	0.07662985	NCBIGene:170691
ADAMTS18	0.08104737	NCBIGene:170692
ADAMTS19	0.33831241	NCBIGene:171019
ADAMTS2	0.43824822	NCBIGene:9507
ADAMTS20	0.06816355	NCBIGene:80070
ADAMTS3	0.22288878	NCBIGene:9509
ADAMTS4	0.22699124	NCBIGene:9507
ADAMTS5	0.79744005	NCBIGene:11096
ADAMTS6	0.69654372	NCBIGene:11174
ADAMTS7	0.14087253	NCBIGene:11173
ADAMTS8	0.28119187	NCBIGene:11095
ADAMTS9	0.19467909	NCBIGene:56999
ADAMTSL1	0.16994289	NCBIGene:92949
ADAMTSL2	0.05502037	NCBIGene:9719
ADAMTSL3	0.0680516	NCBIGene:57188
ADAMTSL4	0.09204029	NCBIGene:54507
ADAMTSL5	0.14873397	NCBIGene:339366
ADAP1	0.55634552	NCBIGene:11033
ADAP2	0.11032297	NCBIGene:55803
ADAR	0.91649887	NCBIGene:103
ADARB1	0.33011664	NCBIGene:104
ADARB2	0.35039593	NCBIGene:105
ADAT1	0.08519335	NCBIGene:23536
ADAT2	0.12393125	NCBIGene:134637
ADAT3	0.17033467	NCBIGene:113179
ADCK1	0.110212	NCBIGene:57143
ADCK2	0.08225902	NCBIGene:90956
ADCK5	0.30656638	NCBIGene:203054
ADCY1	0.99894502	NCBIGene:107
ADCY10	0.57603673	NCBIGene:55811
ADCY2	0.9911354	NCBIGene:108
ADCY3	0.616474	NCBIGene:109
ADCY4	0.47595313	NCBIGene:196883
ADCY5	0.99979848	NCBIGene:111
ADCY6	0.99715405	NCBIGene:112
ADCY7	0.2875635	NCBIGene:113
ADCY8	0.95389947	NCBIGene:114
ADCY9	0.98553654	NCBIGene:115
ADCYAP1	0.82754975	NCBIGene:116
ADCYAP1R1	0.21438008	NCBIGene:117
ADD1	0.59118719	NCBIGene:118
ADD2	0.90459432	NCBIGene:119
ADD3	0.78265213	NCBIGene:120
ADGB	0.11437277	NCBIGene:79747
ADGRA1	0.3873161	NCBIGene:84435
ADGRA2	0.67500074	NCBIGene:25960
ADGRA3	0.86613457	NCBIGene:166647
ADGRB1	0.39383252	NCBIGene:575
ADGRB2	0.57624222	NCBIGene:576
ADGRB3	0.96336299	NCBIGene:577
ADGRD1	0.07145697	NCBIGene:283383
ADGRD2	0.04891659	NCBIGene:347088
ADGRE1	0.07555665	NCBIGene:2015
ADGRE2	0.16713368	NCBIGene:30817
ADGRE3	0.11754119	NCBIGene:84658
ADGRE5	0.06745988	NCBIGene:976
ADGRF1	0.11238771	NCBIGene:266977
ADGRF2	0.12895762	NCBIGene:222611
ADGRF3	0.13517377	NCBIGene:165082
ADGRF4	0.06041722	NCBIGene:221393
ADGRF5	0.16959695	NCBIGene:221395
ADGRG1	0.05005197	NCBIGene:9289
ADGRG3	0.09572294	NCBIGene:222487
ADGRG5	0.06796891	NCBIGene:221188
ADGRG6	0.22680704	NCBIGene:57211
ADGRG7	0.08335945	NCBIGene:84873
ADGRL1	0.9349858	NCBIGene:22859
ADGRL2	0.85961882	NCBIGene:23266
ADGRL3	0.90886504	NCBIGene:23284
ADGRL4	0.1025118	NCBIGene:64123
ADGRV1	0.05662312	NCBIGene:84059
ADH1A	0.10381021	NCBIGene:124
ADH1B	0.10099502	NCBIGene:125
ADH1C	0.15075309	NCBIGene:126
ADH4	0.07591557	NCBIGene:127
ADH5	0.09220531	NCBIGene:128
ADH6	0.07227109	NCBIGene:130
ADH7	0.14475255	NCBIGene:131
ADHFE1	0.06919607	NCBIGene:137872
ADI1	0.06770795	NCBIGene:55256
ADIG	0.10982166	NCBIGene:149685
ADIPOQ	0.58422966	NCBIGene:9370
ADIPOR1	0.75543079	NCBIGene:51094
ADIPOR2	0.78861831	NCBIGene:79602
ADIRF	0.09432835	NCBIGene:10974
ADK	0.25364411	NCBIGene:132
ADM	0.51475207	NCBIGene:133
ADM2	0.1706323	NCBIGene:79924
ADM5	0.09617481	NCBIGene:199800
ADNP	0.32836092	NCBIGene:23394
ADNP2	0.16420915	NCBIGene:22850
ADO	0.66653878	NCBIGene:84890
ADORA1	0.72754813	NCBIGene:134
ADORA2A	0.76860064	NCBIGene:135
ADORA2B	0.22317775	NCBIGene:136
ADORA3	0.1485177	NCBIGene:140
ADPGK	0.13198121	NCBIGene:83440
ADPRH	0.11826667	NCBIGene:141
ADPRHL1	0.06861289	NCBIGene:113622
ADPRHL2	0.13191538	NCBIGene:54936
ADPRM	0.10159464	NCBIGene:56985
ADRA1A	0.19395532	NCBIGene:148
ADRA1B	0.70750119	NCBIGene:147
ADRA1D	0.28937705	NCBIGene:146
ADRA2A	0.2982991	NCBIGene:150
ADRA2B	0.23224521	NCBIGene:151
ADRA2C	0.90215247	NCBIGene:152
ADRB1	0.74986558	NCBIGene:153
ADRB2	0.99882505	NCBIGene:154
ADRB3	0.44835051	NCBIGene:155
ADRM1	0.29273028	NCBIGene:11047
ADSL	0.09241032	NCBIGene:158
ADSS	0.60973206	NCBIGene:159
ADSSL1	0.0485294	NCBIGene:122622
ADTRP	0.09565195	NCBIGene:84830
AEBP1	0.10190357	NCBIGene:165
AEBP2	0.9309852	NCBIGene:121536
AEN	0.27326934	NCBIGene:64782
AES	0.9587014	NCBIGene:166
AFAP1	0.08327085	NCBIGene:60312
AFAP1L1	0.05911722	NCBIGene:134265
AFAP1L2	0.12353169	NCBIGene:84632
AFDN	0.99659085	NCBIGene:4301
AFF1	0.20907039	NCBIGene:4299
AFF3	0.89383749	NCBIGene:3899
AFF4	0.82255357	NCBIGene:27125
AFG1L	0.05971191	NCBIGene:246269
AFG3L2	0.20556109	NCBIGene:10939
AFM	0.07575749	NCBIGene:173
AFMID	0.04904967	NCBIGene:125061
AFP	0.06314872	NCBIGene:174
AFTPH	0.46868056	NCBIGene:54812
AGA	0.04887317	NCBIGene:175
AGAP1	0.41547824	NCBIGene:116987
AGAP2	0.86645167	NCBIGene:116986
AGAP3	0.57463599	NCBIGene:116988
AGAP4	0.11243983	NCBIGene:119016
AGAP5	0.09868873	NCBIGene:729092
AGAP6	0.08403657	NCBIGene:414189
AGBL1	0.07117974	NCBIGene:123624
AGBL2	0.09378088	NCBIGene:79841
AGBL3	0.08696575	NCBIGene:340351
AGBL4	0.09227029	NCBIGene:84871
AGBL5	0.39848997	NCBIGene:60509
AGER	0.07122901	NCBIGene:177
AGFG1	0.30559188	NCBIGene:3267
AGFG2	0.06698238	NCBIGene:3268
AGGF1	0.09082949	NCBIGene:55109
AGK	0.05573716	NCBIGene:55750
AGL	0.09354866	NCBIGene:178
AGMAT	0.0942664	NCBIGene:79814
AGMO	0.04890082	NCBIGene:392636
AGO1	0.99936898	NCBIGene:26523
AGO2	0.99998949	NCBIGene:27161
AGO3	0.93665751	NCBIGene:192669
AGO4	0.69753537	NCBIGene:192670
AGPAT1	0.38658593	NCBIGene:10554
AGPAT2	0.08233055	NCBIGene:10555
AGPAT3	0.27804647	NCBIGene:56894
AGPAT4	0.19700867	NCBIGene:56895
AGPAT5	0.0615847	NCBIGene:55326
AGPS	0.88880634	NCBIGene:8540
AGR2	0.07806137	NCBIGene:10551
AGR3	0.05566271	NCBIGene:155465
AGRN	0.15423199	NCBIGene:375790
AGRP	0.12999287	NCBIGene:181
AGT	0.75124698	NCBIGene:183
AGTPBP1	0.214208	NCBIGene:23287
AGTR1	0.33239066	NCBIGene:185
AGTRAP	0.07826231	NCBIGene:57085
AGXT	0.08222961	NCBIGene:189
AGXT2	0.09834084	NCBIGene:64902
AHCTF1	0.48441945	NCBIGene:25909
AHCY	0.74305117	NCBIGene:191
AHCYL1	0.988843	NCBIGene:10768
AHCYL2	0.75241242	NCBIGene:23382
AHDC1	0.84632539	NCBIGene:27245
AHI1	0.0804282	NCBIGene:54806
AHNAK	0.0896087	NCBIGene:79026
AHNAK2	0.15804201	NCBIGene:113146
AHR	0.98734024	NCBIGene:196
AHRR	0.1028173	NCBIGene:1543
AHSA1	0.50718623	NCBIGene:10598
AHSG	0.36784597	NCBIGene:197
AHSP	0.1420981	NCBIGene:51327
AICDA	0.14208789	NCBIGene:57379
AIDA	0.05226775	NCBIGene:56899
AIF1	0.07746994	NCBIGene:199
AIF1L	0.06189857	NCBIGene:83543
AIFM2	0.11821868	NCBIGene:84883
AIFM3	0.19761452	NCBIGene:150209
AIG1	0.06437436	NCBIGene:51390
AIM2	0.28379981	NCBIGene:9447
AIMP1	0.14079812	NCBIGene:9255
AIMP2	0.08456668	NCBIGene:7965
AIP	0.30910362	NCBIGene:9049
AIPL1	0.10648692	NCBIGene:23746
AIRE	0.22932635	NCBIGene:326
AJAP1	0.45545618	NCBIGene:55966
AJM1	0.30535318	NCBIGene:389813
AJUBA	0.84910393	NCBIGene:84962
AK1	0.22241501	NCBIGene:203
AK2	0.0491719	NCBIGene:204
AK3	0.09378292	NCBIGene:205
AK4	0.19182376	NCBIGene:205
AK5	0.28533394	NCBIGene:26289
AK7	0.05607354	NCBIGene:122481
AK8	0.22455159	NCBIGene:158067
AK9	0.05750065	NCBIGene:221264
AKAIN1	0.13477665	NCBIGene:642597
AKAP1	0.60801123	NCBIGene:8165
AKAP10	0.87396163	NCBIGene:11216
AKAP11	0.35053766	NCBIGene:11215
AKAP12	0.38094922	NCBIGene:9590
AKAP13	0.52183129	NCBIGene:11214
AKAP2	0.09879282	NCBIGene:445815
AKAP3	0.13555852	NCBIGene:10566
AKAP5	0.99102352	NCBIGene:9495
AKAP6	0.95594652	NCBIGene:9472
AKAP7	0.42155279	NCBIGene:9465
AKAP8	0.31398432	NCBIGene:10270
AKAP8L	0.09102746	NCBIGene:26993
AKAP9	0.37357809	NCBIGene:10142
AKIP1	0.0867441	NCBIGene:56672
AKIRIN1	0.22508749	NCBIGene:79647
AKIRIN2	0.56290939	NCBIGene:55122
AKNA	0.06239876	NCBIGene:80709
AKNAD1	0.09527565	NCBIGene:254268
AKR1A1	0.07989822	NCBIGene:10327
AKR1B1	0.16579322	NCBIGene:231
AKR1B10	0.11450627	NCBIGene:57016
AKR1B15	0.09184217	NCBIGene:441282
AKR1C1	0.04832421	NCBIGene:1645
AKR1C2	0.06894098	NCBIGene:1646
AKR1C3	0.07358073	NCBIGene:8644
AKR1C4	0.05343857	NCBIGene:1109
AKR1D1	0.094459	NCBIGene:6718
AKR1E2	0.0536542	NCBIGene:83592
AKR7A2	0.15162231	NCBIGene:8574
AKR7A3	0.11316314	NCBIGene:22977
AKR7L	0.05151173	NCBIGene:246181
AKT1	0.9996715	NCBIGene:207
AKT1S1	0.6451371	NCBIGene:84335
AKT2	0.98973311	NCBIGene:208
AKT3	0.97599335	NCBIGene:10000
AKTIP	0.88473698	NCBIGene:64400
ALAD	0.07028918	NCBIGene:210
ALAS1	0.40349881	NCBIGene:211
ALB	0.8588697	NCBIGene:213
ALCAM	0.50773048	NCBIGene:214
ALDH16A1	0.04852129	NCBIGene:126133
ALDH18A1	0.39587012	NCBIGene:5832
ALDH1A1	0.65856049	NCBIGene:216
ALDH1A2	0.7075193	NCBIGene:8854
ALDH1A3	0.58509079	NCBIGene:220
ALDH1B1	0.09382855	NCBIGene:219
ALDH1L1	0.04939424	NCBIGene:10840
ALDH1L2	0.09300355	NCBIGene:160428
ALDH2	0.09792697	NCBIGene:217
ALDH3A1	0.10357877	NCBIGene:218
ALDH3A2	0.06068815	NCBIGene:224
ALDH3B1	0.05545497	NCBIGene:221
ALDH3B2	0.06656234	NCBIGene:222
ALDH4A1	0.07666295	NCBIGene:8659
ALDH5A1	0.06015987	NCBIGene:7915
ALDH6A1	0.05019623	NCBIGene:4329
ALDH7A1	0.09533734	NCBIGene:501
ALDH8A1	0.09583129	NCBIGene:64577
ALDH9A1	0.04814113	NCBIGene:223
ALDOA	0.6990495	NCBIGene:226
ALDOB	0.06818994	NCBIGene:229
ALDOC	0.32114451	NCBIGene:230
ALG1	0.11052387	NCBIGene:56052
ALG10	0.08169728	NCBIGene:144245
ALG10B	0.09731782	NCBIGene:144245
ALG11	0.12519621	NCBIGene:440138
ALG12	0.06986728	NCBIGene:79087
ALG14	0.06007403	NCBIGene:199857
ALG1L	0.06032968	NCBIGene:200810
ALG2	0.07435749	NCBIGene:10016
ALG3	0.13160466	NCBIGene:10195
ALG5	0.06410652	NCBIGene:29880
ALG6	0.08389365	NCBIGene:29929
ALG8	0.09478403	NCBIGene:79053
ALG9	0.06001282	NCBIGene:79796
ALK	0.71846184	NCBIGene:238
ALKAL1	0.05722062	NCBIGene:389658
ALKAL2	0.13714805	NCBIGene:285016
ALKBH1	0.08294852	NCBIGene:8846
ALKBH2	0.14891555	NCBIGene:121642
ALKBH3	0.07365605	NCBIGene:221120
ALKBH4	0.1146288	NCBIGene:54784
ALKBH5	0.85511876	NCBIGene:54890
ALKBH6	0.06850631	NCBIGene:84964
ALKBH7	0.20960155	NCBIGene:84266
ALKBH8	0.0626857	NCBIGene:91801
ALLC	0.09590841	NCBIGene:55821
ALMS1	0.21792973	NCBIGene:7840
ALOX12	0.07584406	NCBIGene:239
ALOX12B	0.09556468	NCBIGene:242
ALOX15	0.19379707	NCBIGene:246
ALOX15B	0.10029347	NCBIGene:247
ALOX5	0.09726497	NCBIGene:240
ALOX5AP	0.15799518	NCBIGene:241
ALOXE3	0.14691623	NCBIGene:59344
ALPG	0.11849923	NCBIGene:251
ALPI	0.22174783	NCBIGene:250
ALPK1	0.06110726	NCBIGene:80216
ALPK2	0.06708525	NCBIGene:115701
ALPK3	0.05574648	NCBIGene:57538
ALPL	0.55652595	NCBIGene:249
ALPP	0.19019905	NCBIGene:250
ALS2	0.1140286	NCBIGene:57679
ALS2CL	0.08706183	NCBIGene:259173
ALS2CR12	0.09471889	NCBIGene:130540
ALX1	0.98721496	NCBIGene:8092
ALX3	0.154437	NCBIGene:257
ALX4	0.95866383	NCBIGene:60529
ALYREF	0.99938011	NCBIGene:10189
AMACR	0.10862764	NCBIGene:23600
AMBN	0.17010841	NCBIGene:258
AMBP	0.1653181	NCBIGene:259
AMBRA1	0.65377193	NCBIGene:55626
AMD1	0.71540579	NCBIGene:4882
AMDHD1	0.10260121	NCBIGene:144193
AMDHD2	0.06290375	NCBIGene:51005
AMER2	0.1566796	NCBIGene:219287
AMER3	0.05741389	NCBIGene:205147
AMFR	0.22420134	NCBIGene:267
AMH	0.71728522	NCBIGene:268
AMHR2	0.21677004	NCBIGene:269
AMIGO1	0.72991931	NCBIGene:57463
AMIGO2	0.14619047	NCBIGene:347902
AMIGO3	0.23071724	NCBIGene:386724
AMMECR1L	0.6412515	NCBIGene:83607
AMN	0.05972957	NCBIGene:215
AMN1	0.09879806	NCBIGene:196394
AMOTL1	0.48295857	NCBIGene:154810
AMOTL2	0.22834346	NCBIGene:51421
AMPD1	0.28289503	NCBIGene:270
AMPD2	0.35108307	NCBIGene:271
AMPD3	0.13177683	NCBIGene:272
AMPH	0.3623616	NCBIGene:273
AMT	0.08039911	NCBIGene:275
AMTN	0.12002644	NCBIGene:401138
AMY1A	0.06358981	NCBIGene:276
AMY1B	0.05335859	NCBIGene:277
AMY1C	0.16363937	NCBIGene:278
AMY2A	0.07729612	NCBIGene:279
AMY2B	0.06744634	NCBIGene:280
AMZ1	0.09964202	NCBIGene:155185
AMZ2	0.08462373	NCBIGene:51321
ANAPC1	0.15098219	NCBIGene:64682
ANAPC10	0.2500741	NCBIGene:10393
ANAPC11	0.09898376	NCBIGene:51529
ANAPC13	0.11810016	NCBIGene:25847
ANAPC15	0.20080873	NCBIGene:25906
ANAPC16	0.07931034	NCBIGene:119504
ANAPC2	0.92989732	NCBIGene:29882
ANAPC4	0.18293692	NCBIGene:29945
ANAPC5	0.78182059	NCBIGene:51433
ANAPC7	0.86253471	NCBIGene:51434
ANG	0.34674846	NCBIGene:283
ANGEL1	0.17259213	NCBIGene:23357
ANGEL2	0.08583796	NCBIGene:90806
ANGPT1	0.98875408	NCBIGene:284
ANGPT2	0.60638061	NCBIGene:285
ANGPT4	0.50815079	NCBIGene:51378
ANGPTL1	0.37483803	NCBIGene:9068
ANGPTL2	0.2177239	NCBIGene:23452
ANGPTL3	0.10712913	NCBIGene:27329
ANGPTL4	0.54330824	NCBIGene:51129
